Fuel Type Code,Station Name,Street Address,City,State,Status Code,Groups With Access Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,ID,Updated At,Open Date,EV Connector Types,Country,Access Code,Facility Type,EV Pricing,Restricted Access
ELEC,Parkright 169 Ludlow Street - Tesla Destination,169 Ludlow St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.721724,-73.987776,115029,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 169 W 95th Street - Tesla Destination,169  W 95th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.793528,-73.97024,115030,2021-03-11 23:22:17 UTC,2016-05-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Residence Inn New York Manhattan - Tesla Destination,1717 Broadway,New York,NY,E,Public,2.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.764369,-73.982707,115031,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,HOTEL,Free,False
ELEC,Quikpark 173 W 12th Street - Tesla Destination,173 W 12th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.7372,-74.00007,115032,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Quik Park Hudson 180 LLC - Tesla Destination,180 Riverside Blvd,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.778397,-73.987899,115033,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark NYC 183 E 73rd Street - Tesla Destination,184 E 73rd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.770442,-73.960649,115034,2021-03-11 23:22:17 UTC,2016-05-01,J1772 TESLA,US,public,HOTEL,Free,False
ELEC,Icon Parking 240 East Broadway - Tesla Destination,188 Clinton St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.715074,-73.986927,115035,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Glenwood Grand Tier Parking - Tesla Destination,1930 Broadway,New York,NY,E,Public,2.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.772436,-73.981695,115036,2021-03-11 23:22:17 UTC,2017-09-01,TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Standard Parking 20 W 13th Street - Tesla Destination,20 W 13th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.735594,-73.995291,115037,2021-03-11 23:22:17 UTC,2017-03-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Central Parking 200 Chambers - Tesla Destination,200 Chambers St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716579,-74.012393,115038,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 200 E 32nd Street - Tesla Destination,200 E 32nd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.744029,-73.978952,115039,2021-03-11 23:22:17 UTC,2017-03-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 200 E 65th Street - Tesla Destination,200 E 65th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.764777,-73.963555,115040,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Enterprise Parking 200 E 69th St - Tesla Destination,200 E 69th St,New York,NY,E,Public,2.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.767289,-73.961762,115041,2021-03-11 23:22:17 UTC,2016-11-01,TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark 200 E 70th Street - Tesla Destination,200 E 70th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.768244,-73.961621,115042,2021-03-11 23:22:17 UTC,2016-12-15,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark NYC The Carnegie Garage - Tesla Destination,200 E 94th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.783355,-73.949998,115043,2021-03-11 23:22:17 UTC,2016-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,GMC Copley Parking - Tesla Destination,2000 Broadway,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.775496,-73.981552,115044,2021-03-11 23:22:17 UTC,2017-09-01,TESLA,US,public,PAY_GARAGE,Free,False
ELEC,MPG 201 E 56th - Tesla Destination,201 E 56th,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.759764,-73.967956,115045,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 203 E 61 Street - Tesla Destination,203 E 61 St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.762948,-73.965513,115046,2021-03-11 23:22:17 UTC,2016-05-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Rapidpark 204 W 101st Street - Tesla Destination,204 W 101st St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.797283,-73.968766,115047,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Champion Parking W 76th Street - Tesla Destination,205 W 76th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.78168,-73.97994,115048,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 810 Seventh Ave - Tesla Destination,207  W 52nd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.762891,-73.983151,115049,2021-03-11 23:22:17 UTC,2016-08-15,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Standard Parking 21 East 15th Street - Tesla Destination,21 E 15th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.73644,-73.992027,115050,2021-03-11 23:22:17 UTC,2016-12-15,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Rapidpark 210 W 102nd Street - Tesla Destination,210 W 102st St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.797961,-73.968389,115051,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
